CASE ID,TICKET TYPE,MEMBERSHIP,PRIORITY,RESOURCE OF STARTING ACTIVITY,NUMBER OF ACTIVE CASES AT START,Decision
"Case 4260","Question","Premium","High","Res3",3,"False/No-Wait"
"Case 4261","Task","Premium","Normal","Res4",3,"True/Wait"
"Case 4262","Question","Premium","Normal","Res8",3,"False/No-Wait"
"Case 4263","Task","Premium","High","Res3",3,"True/Wait"
"Case 4264","Question","Premium","High","Res3",3,"False/No-Wait"
"Case 4265","Question","Premium","High","Res4",3,"False/No-Wait"
"Case 4266","Task","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4267","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4268","Task","Premium","Normal","Res3",3,"True/Wait"
"Case 4269","Task","Premium","Normal","Res4",3,"True/Wait"
"Case 427","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4270","Incident","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4271","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4272","Question","Gold","High","Res8",3,"False/No-Wait"
"Case 4273","Task","Premium","Normal","Res4",3,"True/Wait"
"Case 4274","Task","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4275","Task","Premium","High","Res3",3,"True/Wait"
"Case 4276","Question","Gold","Normal","Res4",3,"False/No-Wait"
"Case 4277","Question","Gold","High","Res3",3,"False/No-Wait"
"Case 4278","Task","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4279","Incident","Premium","Normal","Res8",3,"False/No-Wait"
"Case 428","Task","Premium","Normal","Res8",3,"False/No-Wait"
"Case 4280","Incident","Gold","High","Res4",3,"True/Wait"
"Case 4281","Question","Premium","High","Res3",3,"False/No-Wait"
"Case 4282","Question","Gold","Normal","Res8",3,"False/No-Wait"
"Case 4283","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4284","Task","Gold","High","Res8",3,"False/No-Wait"
"Case 4285","Task","Premium","Normal","Res4",3,"True/Wait"
"Case 4286","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4287","Task","Premium","Normal","Res8",3,"False/No-Wait"
"Case 4288","Question","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4289","Question","Gold","Normal","Res8",3,"False/No-Wait"
"Case 429","Task","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4290","Incident","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4291","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4292","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4293","Incident","Premium","High","Res3",3,"False/No-Wait"
"Case 4294","Incident","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4295","Question","Premium","High","Res3",3,"False/No-Wait"
"Case 4296","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4297","Question","Gold","High","Res4",3,"False/No-Wait"
"Case 4298","Question","Gold","Normal","Res4",3,"False/No-Wait"
"Case 4299","Question","Gold","High","Res4",3,"False/No-Wait"
"Case 43","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 430","Question","Gold","Normal","Res4",3,"False/No-Wait"
"Case 4300","Question","Premium","High","Res8",3,"True/Wait"
"Case 4301","Task","Premium","High","Res4",3,"True/Wait"
"Case 4302","Question","Gold","Normal","Res8",3,"False/No-Wait"
"Case 4303","Task","Premium","Normal","Res8",3,"False/No-Wait"
"Case 4304","Task","Gold","High","Res3",3,"False/No-Wait"
"Case 4305","Question","Premium","High","Res4",3,"True/Wait"
"Case 4306","Question","Gold","High","Res8",3,"False/No-Wait"
"Case 4307","Question","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4308","Question","Gold","High","Res3",3,"False/No-Wait"
"Case 4309","Incident","Gold","High","Res8",3,"True/Wait"
"Case 431","Question","Gold","Normal","Res8",3,"False/No-Wait"
"Case 4310","Question","Premium","High","Res3",3,"False/No-Wait"
"Case 4311","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4312","Question","Gold","High","Res3",3,"False/No-Wait"
"Case 4313","Incident","Gold","Normal","Res8",3,"False/No-Wait"
"Case 4314","Incident","Premium","Normal","Res8",3,"True/Wait"
"Case 4315","Task","Premium","Normal","Res4",3,"False/No-Wait"
"Case 4316","Question","Gold","High","Res3",3,"False/No-Wait"
"Case 4317","Question","Gold","Urgent","Res4",3,"False/No-Wait"
"Case 4318","Question","Premium","High","Res8",3,"False/No-Wait"
"Case 4319","Question","Gold","Normal","Res8",3,"False/No-Wait"
"Case 432","Question","Premium","Normal","Res4",3,"False/No-Wait"
"Case 4320","Question","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4321","Question","Premium","Urgent","Res4",3,"False/No-Wait"
"Case 4322","Question","Gold","Urgent","Res4",3,"False/No-Wait"
"Case 4323","Task","Premium","Urgent","Res4",3,"True/Wait"
"Case 4324","Task","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4325","Task","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4326","Task","Premium","Normal","Res3",3,"True/Wait"
"Case 4327","Task","Premium","Normal","Res8",3,"True/Wait"
"Case 4328","Task","Premium","High","Res8",3,"False/No-Wait"
"Case 4329","Task","Premium","Normal","Res3",3,"False/No-Wait"
"Case 433","Task","Premium","High","Res3",3,"True/Wait"
"Case 4330","Task","Premium","Normal","Res4",3,"True/Wait"
"Case 4331","Question","Gold","Normal","Res8",3,"False/No-Wait"
"Case 4332","Incident","Premium","Normal","Res4",3,"False/No-Wait"
"Case 4333","Incident","Gold","Normal","Res8",3,"False/No-Wait"
"Case 4334","Task","Premium","Urgent","Res3",3,"False/No-Wait"
"Case 4335","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4336","Task","Premium","Normal","Res4",3,"True/Wait"
"Case 4337","Task","Premium","Normal","Res8",3,"True/Wait"
"Case 4338","Task","Premium","Normal","Res3",3,"True/Wait"
"Case 4339","Task","Gold","Urgent","Res3",3,"False/No-Wait"
"Case 434","Task","Premium","High","Res4",3,"False/No-Wait"
"Case 4340","Question","Gold","High","Res4",3,"False/No-Wait"
"Case 4341","Task","Premium","Normal","Res8",3,"False/No-Wait"
"Case 4342","Task","Premium","Normal","Res8",3,"False/No-Wait"
"Case 4343","Question","Premium","High","Res4",3,"False/No-Wait"
"Case 4344","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4345","Question","Gold","Normal","Res8",3,"False/No-Wait"
"Case 4346","Question","Gold","Normal","Res3",3,"False/No-Wait"
"Case 4347","Question","Premium","Normal","Res4",3,"False/No-Wait"
"Case 4348","Task","Gold","High","Res4",3,"False/No-Wait"
"Case 4349","Question","Premium","High","Res3",3,"False/No-Wait"
"Case 435","Task","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4350","Task","Premium","Normal","Res3",3,"False/No-Wait"
"Case 4351","Task","Premium","Normal","Res4",3,"True/Wait"
"Case 4352","Task","Premium","Normal","Res3",3,"True/Wait"
"Case 4353","Task","Premium","Normal","Res8",3,"True/Wait"
"Case 4354","Task","Premium","Normal","Res8",4,"False/No-Wait"
"Case 4355","Question","Gold","Normal","Res3",4,"False/No-Wait"
"Case 4356","Incident","Premium","Normal","Res4",4,"True/Wait"
"Case 4357","Question","Gold","High","Res4",4,"False/No-Wait"
"Case 4358","Question","Premium","Normal","Res4",4,"False/No-Wait"
"Case 4359","Task","Gold","Normal","Res8",4,"True/Wait"
"Case 436","Question","Gold","Normal","Res8",4,"False/No-Wait"
"Case 4360","Question","Gold","High","Res8",4,"False/No-Wait"
"Case 4361","Task","Premium","Normal","Res4",4,"False/No-Wait"
"Case 4362","Question","Gold","Normal","Res4",4,"False/No-Wait"
"Case 4363","Question","Gold","Urgent","Res8",4,"False/No-Wait"
"Case 4364","Question","Gold","Normal","Res3",4,"False/No-Wait"
"Case 4365","Task","Premium","Normal","Res8",4,"True/Wait"
"Case 4366","Question","Gold","Normal","Res3",4,"False/No-Wait"
"Case 4367","Question","Gold","Normal","Res8",4,"False/No-Wait"
"Case 4368","Task","Gold","Normal","Res8",4,"False/No-Wait"
"Case 4369","Task","Premium","Normal","Res4",4,"True/Wait"
"Case 437","Task","Premium","Normal","Res4",4,"True/Wait"
"Case 4370","Incident","Premium","Normal","Res3",5,"True/Wait"
"Case 4371","Incident","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4372","Question","Gold","Normal","Res3",5,"False/No-Wait"
"Case 4373","Incident","Gold","High","Res4",5,"False/No-Wait"
"Case 4374","Question","Gold","Normal","Res3",5,"False/No-Wait"
"Case 4375","Task","Premium","Normal","Res4",5,"True/Wait"
"Case 4376","Incident","Premium","High","Res8",5,"False/No-Wait"
"Case 4377","Task","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4378","Question","Premium","High","Res8",5,"True/Wait"
"Case 4379","Task","Gold","Normal","Res3",5,"False/No-Wait"
"Case 438","Incident","Premium","Normal","Res4",5,"True/Wait"
"Case 4380","Task","Premium","Normal","Res3",5,"False/No-Wait"
"Case 4381","Task","Premium","Normal","Res4",5,"True/Wait"
"Case 4382","Question","Premium","Normal","Res4",5,"False/No-Wait"
"Case 4383","Task","Premium","High","Res8",5,"False/No-Wait"
"Case 4384","Task","Gold","Normal","Res8",5,"True/Wait"
"Case 4385","Task","Premium","Normal","Res3",5,"False/No-Wait"
"Case 4386","Question","Gold","High","Res8",5,"False/No-Wait"
"Case 4387","Task","Premium","Normal","Res3",5,"True/Wait"
"Case 4388","Question","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4389","Task","Gold","High","Res8",5,"False/No-Wait"
"Case 439","Question","Premium","Normal","Res8",5,"False/No-Wait"
"Case 4390","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4391","Question","Gold","High","Res3",5,"False/No-Wait"
"Case 4392","Incident","Premium","High","Res3",5,"False/No-Wait"
"Case 4393","Task","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4394","Task","Premium","Normal","Res8",5,"False/No-Wait"
"Case 4395","Question","Premium","Normal","Res8",5,"True/Wait"
"Case 4396","Question","Gold","High","Res4",5,"False/No-Wait"
"Case 4397","Question","Gold","High","Res8",5,"False/No-Wait"
"Case 4398","Task","Gold","Normal","Res8",5,"True/Wait"
"Case 4399","Question","Gold","High","Res3",5,"False/No-Wait"
"Case 44","Question","Gold","Normal","Res3",5,"False/No-Wait"
"Case 440","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4400","Incident","Premium","High","Res3",5,"True/Wait"
"Case 4401","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4402","Question","Premium","Urgent","Res4",5,"True/Wait"
"Case 4403","Task","Premium","High","Res8",5,"False/No-Wait"
"Case 4404","Task","Premium","Normal","Res8",5,"True/Wait"
"Case 4405","Incident","Gold","Normal","Res3",5,"False/No-Wait"
"Case 4406","Question","Gold","High","Res8",5,"False/No-Wait"
"Case 4407","Task","Premium","Normal","Res4",5,"True/Wait"
"Case 4408","Task","Premium","Normal","Res8",5,"False/No-Wait"
"Case 4409","Task","Gold","High","Res8",5,"True/Wait"
"Case 441","Task","Premium","Normal","Res8",5,"False/No-Wait"
"Case 4410","Task","Premium","Normal","Res3",5,"True/Wait"
"Case 4411","Task","Premium","Normal","Res4",5,"True/Wait"
"Case 4412","Question","Premium","Normal","Res3",5,"False/No-Wait"
"Case 4413","Task","Premium","Normal","Res4",5,"False/No-Wait"
"Case 4414","Task","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4415","Task","Premium","Normal","Res8",5,"False/No-Wait"
"Case 4416","Task","Premium","Normal","Res3",5,"False/No-Wait"
"Case 4417","Task","Premium","High","Res8",5,"True/Wait"
"Case 4418","Question","Gold","High","Res8",5,"False/No-Wait"
"Case 4419","Incident","Premium","Normal","Res4",5,"True/Wait"
"Case 442","Question","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4420","Incident","Gold","High","Res3",5,"False/No-Wait"
"Case 4421","Task","Premium","Normal","Res3",5,"True/Wait"
"Case 4422","Question","Gold","Normal","Res3",5,"False/No-Wait"
"Case 4423","Task","Premium","Normal","Res4",5,"False/No-Wait"
"Case 4424","Task","Premium","Urgent","Res3",5,"True/Wait"
"Case 4425","Incident","Premium","Urgent","Res3",5,"False/No-Wait"
"Case 4426","Task","Gold","Normal","Res3",5,"True/Wait"
"Case 4427","Task","Premium","High","Res8",5,"True/Wait"
"Case 4428","Task","Premium","Normal","Res3",5,"False/No-Wait"
"Case 4429","Question","Premium","High","Res4",5,"False/No-Wait"
"Case 443","Incident","Gold","Urgent","Res3",5,"False/No-Wait"
"Case 4430","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4431","Task","Premium","Normal","Res4",5,"True/Wait"
"Case 4432","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4433","Task","Premium","Normal","Res4",5,"True/Wait"
"Case 4434","Question","Premium","Normal","Res3",5,"True/Wait"
"Case 4435","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4436","Question","Premium","High","Res3",5,"False/No-Wait"
"Case 4437","Question","Gold","Normal","Res3",5,"False/No-Wait"
"Case 4438","Incident","Gold","High","Res8",5,"False/No-Wait"
"Case 4439","Question","Gold","Normal","Res8",5,"False/No-Wait"
"Case 444","Task","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4440","Task","Premium","Normal","Res3",5,"False/No-Wait"
"Case 4441","Question","Gold","Normal","Res3",5,"False/No-Wait"
"Case 4442","Incident","Premium","Normal","Res4",5,"True/Wait"
"Case 4443","Question","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4444","Question","Premium","High","Res4",5,"False/No-Wait"
"Case 4445","Question","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4446","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4447","Task","Premium","Normal","Res3",5,"False/No-Wait"
"Case 4448","Question","Premium","Urgent","Res3",5,"False/No-Wait"
"Case 4449","Incident","Premium","Normal","Res3",5,"False/No-Wait"
"Case 445","Question","Gold","Normal","Res3",5,"False/No-Wait"
"Case 4450","Incident","Gold","Normal","Res8",5,"False/No-Wait"
"Case 4451","Question","Premium","Normal","Res8",5,"False/No-Wait"
"Case 4452","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4453","Question","Gold","Normal","Res4",5,"True/Wait"
"Case 4454","Task","Premium","Normal","Res4",5,"True/Wait"
"Case 4455","Question","Gold","High","Res8",5,"False/No-Wait"
"Case 4456","Task","Premium","Normal","Res3",5,"True/Wait"
"Case 4457","Question","Gold","High","Res4",5,"False/No-Wait"
"Case 4458","Question","Premium","Normal","Res4",5,"False/No-Wait"
"Case 4459","Task","Premium","Normal","Res8",5,"True/Wait"
"Case 446","Task","Premium","Normal","Res3",5,"True/Wait"
"Case 4460","Question","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4461","Task","Gold","Normal","Res4",5,"False/No-Wait"
"Case 4462","Question","Gold","Normal","Res3",5,"False/No-Wait"
"Case 4463","Task","Premium","Normal","Res4",6,"False/No-Wait"
"Case 4464","Question","Gold","High","Res4",6,"False/No-Wait"
"Case 4465","Task","Premium","Normal","Res4",6,"True/Wait"
"Case 4466","Task","Gold","Normal","Res3",6,"True/Wait"
"Case 4467","Task","Premium","Normal","Res3",6,"True/Wait"
"Case 4468","Question","Gold","Normal","Res4",6,"False/No-Wait"
"Case 4469","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 447","Task","Premium","Normal","Res8",6,"False/No-Wait"
"Case 4470","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4471","Question","Premium","High","Res3",6,"False/No-Wait"
"Case 4472","Task","Premium","High","Res3",6,"False/No-Wait"
"Case 4473","Question","Gold","Normal","Res4",6,"False/No-Wait"
"Case 4474","Question","Gold","High","Res8",6,"False/No-Wait"
"Case 4475","Task","Premium","High","Res4",6,"False/No-Wait"
"Case 4476","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4477","Question","Premium","Normal","Res3",6,"False/No-Wait"
"Case 4478","Task","Premium","Normal","Res4",6,"True/Wait"
"Case 4479","Question","Premium","Urgent","Res4",6,"False/No-Wait"
"Case 448","Task","Premium","Normal","Res8",6,"True/Wait"
"Case 4480","Task","Premium","Normal","Res8",6,"False/No-Wait"
"Case 4481","Task","Premium","Normal","Res3",6,"True/Wait"
"Case 4482","Incident","Premium","High","Res3",6,"True/Wait"
"Case 4483","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4484","Task","Premium","Normal","Res8",6,"False/No-Wait"
"Case 4485","Task","Premium","Normal","Res3",6,"True/Wait"
"Case 4486","Question","Premium","Normal","Res4",6,"False/No-Wait"
"Case 4487","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4488","Incident","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4489","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 449","Question","Gold","High","Res4",6,"True/Wait"
"Case 4490","Question","Premium","Normal","Res8",6,"True/Wait"
"Case 4491","Task","Premium","High","Res8",6,"False/No-Wait"
"Case 4492","Incident","Premium","Normal","Res4",6,"True/Wait"
"Case 4493","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4494","Question","Premium","Normal","Res8",6,"False/No-Wait"
"Case 4495","Question","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4496","Question","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4497","Question","Premium","High","Res3",6,"False/No-Wait"
"Case 4498","Task","Premium","Normal","Res4",6,"True/Wait"
"Case 4499","Task","Premium","Normal","Res4",6,"False/No-Wait"
"Case 45","Task","Premium","Normal","Res8",6,"False/No-Wait"
"Case 450","Incident","Gold","Normal","Res4",6,"False/No-Wait"
"Case 4500","Incident","Premium","High","Res4",6,"False/No-Wait"
"Case 4501","Task","Premium","Normal","Res8",6,"True/Wait"
"Case 4502","Question","Gold","Normal","Res4",6,"False/No-Wait"
"Case 4503","Question","Premium","Normal","Res3",6,"True/Wait"
"Case 4504","Incident","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4505","Question","Gold","High","Res3",6,"False/No-Wait"
"Case 4506","Task","Premium","Urgent","Res4",6,"True/Wait"
"Case 4507","Question","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4508","Question","Gold","Normal","Res4",6,"False/No-Wait"
"Case 4509","Question","Gold","High","Res4",6,"False/No-Wait"
"Case 451","Question","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4510","Question","Gold","High","Res4",6,"False/No-Wait"
"Case 4511","Question","Premium","Normal","Res8",6,"False/No-Wait"
"Case 4512","Task","Premium","Normal","Res4",6,"True/Wait"
"Case 4513","Task","Premium","Normal","Res4",6,"False/No-Wait"
"Case 4514","Question","Premium","High","Res3",6,"True/Wait"
"Case 4515","Question","Gold","High","Res4",6,"False/No-Wait"
"Case 4516","Question","Gold","High","Res3",6,"False/No-Wait"
"Case 4517","Question","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4518","Task","Premium","Normal","Res8",6,"True/Wait"
"Case 4519","Task","Premium","Normal","Res4",6,"True/Wait"
"Case 452","Question","Premium","High","Res4",6,"False/No-Wait"
"Case 4520","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4521","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4522","Task","Premium","Normal","Res4",6,"True/Wait"
"Case 4523","Question","Premium","Normal","Res3",6,"False/No-Wait"
"Case 4524","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4525","Question","Premium","Normal","Res3",6,"False/No-Wait"
"Case 4526","Question","Gold","High","Res4",6,"False/No-Wait"
"Case 4527","Incident","Gold","Normal","Res4",6,"False/No-Wait"
"Case 4528","Task","Premium","Normal","Res3",6,"True/Wait"
"Case 4529","Question","Premium","High","Res4",6,"False/No-Wait"
"Case 453","Task","Premium","Normal","Res4",6,"False/No-Wait"
"Case 4530","Task","Gold","Normal","Res4",6,"False/No-Wait"
"Case 4531","Question","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4532","Question","Premium","Normal","Res4",6,"False/No-Wait"
"Case 4533","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4534","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4535","Question","Premium","Normal","Res3",6,"False/No-Wait"
"Case 4536","Question","Gold","Normal","Res3",6,"False/No-Wait"
"Case 4537","Question","Gold","High","Res3",6,"False/No-Wait"
"Case 4538","Task","Premium","Urgent","Res8",6,"False/No-Wait"
"Case 4539","Incident","Gold","Normal","Res4",6,"False/No-Wait"
"Case 454","Incident","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4540","Incident","Gold","High","Res8",6,"False/No-Wait"
"Case 4541","Task","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4542","Task","Premium","Normal","Res4",6,"False/No-Wait"
"Case 4543","Question","Gold","Normal","Res8",6,"False/No-Wait"
"Case 4544","Question","Premium","Normal","Res3",7,"False/No-Wait"
"Case 4545","Task","Premium","Normal","Res8",7,"True/Wait"
"Case 4546","Question","Gold","High","Res3",7,"False/No-Wait"
"Case 4547","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 4548","Incident","Premium","Normal","Res4",7,"False/No-Wait"
"Case 4549","Task","Premium","High","Res4",7,"False/No-Wait"
"Case 455","Task","Premium","High","Res3",7,"True/Wait"
"Case 4550","Question","Premium","High","Res8",7,"False/No-Wait"
"Case 4551","Task","Gold","Normal","Res4",7,"True/Wait"
"Case 4552","Task","Premium","Normal","Res8",7,"False/No-Wait"
"Case 4553","Question","Gold","Normal","Res3",7,"False/No-Wait"
"Case 4554","Task","Premium","High","Res4",7,"True/Wait"
"Case 4555","Question","Gold","High","Res4",7,"False/No-Wait"
"Case 4556","Question","Gold","Normal","Res4",7,"False/No-Wait"
"Case 4557","Task","Gold","High","Res8",7,"False/No-Wait"
"Case 4558","Task","Premium","Urgent","Res4",7,"True/Wait"
"Case 4559","Question","Gold","Normal","Res4",7,"False/No-Wait"
"Case 456","Task","Premium","Normal","Res3",7,"False/No-Wait"
"Case 4560","Incident","Premium","Normal","Res8",7,"False/No-Wait"
"Case 4561","Incident","Premium","Normal","Res8",7,"True/Wait"
"Case 4562","Task","Premium","Normal","Res8",7,"False/No-Wait"
"Case 4563","Task","Premium","Normal","Res8",7,"True/Wait"
"Case 4564","Task","Premium","Normal","Res4",7,"True/Wait"
"Case 4565","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 4566","Question","Premium","Normal","Res3",7,"False/No-Wait"
"Case 4567","Incident","Premium","High","Res3",7,"True/Wait"
"Case 4568","Task","Gold","Normal","Res3",7,"False/No-Wait"
"Case 4569","Task","Premium","Normal","Res4",7,"True/Wait"
"Case 457","Question","Gold","High","Res8",7,"False/No-Wait"
"Case 4570","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 4571","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 4572","Incident","Premium","Normal","Res3",7,"False/No-Wait"
"Case 4573","Task","Premium","High","Res4",7,"True/Wait"
"Case 4574","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 4575","Task","Premium","Normal","Res8",7,"True/Wait"
"Case 4576","Question","Gold","High","Res3",7,"False/No-Wait"
"Case 4577","Task","Premium","Normal","Res8",7,"False/No-Wait"
"Case 4578","Question","Gold","Normal","Res3",7,"False/No-Wait"
"Case 4579","Question","Gold","Normal","Res4",7,"False/No-Wait"
"Case 458","Task","Premium","Normal","Res8",7,"False/No-Wait"
"Case 4580","Question","Premium","Normal","Res4",7,"True/Wait"
"Case 459","Task","Premium","Urgent","Res8",7,"False/No-Wait"
"Case 46","Task","Premium","Normal","Res4",7,"True/Wait"
"Case 460","Incident","Premium","Normal","Res4",7,"False/No-Wait"
"Case 461","Task","Premium","Normal","Res8",7,"True/Wait"
"Case 462","Incident","Gold","Normal","Res3",7,"False/No-Wait"
"Case 463","Task","Premium","Normal","Res8",7,"False/No-Wait"
"Case 464","Incident","Premium","Normal","Res8",7,"False/No-Wait"
"Case 465","Task","Premium","Normal","Res8",7,"False/No-Wait"
"Case 466","Question","Premium","Normal","Res3",7,"False/No-Wait"
"Case 467","Task","Premium","Normal","Res8",7,"True/Wait"
"Case 468","Question","Premium","Normal","Res4",7,"True/Wait"
"Case 469","Question","Gold","Normal","Res4",7,"True/Wait"
"Case 47","Question","Premium","Normal","Res4",7,"False/No-Wait"
"Case 470","Question","Premium","Normal","Res4",7,"True/Wait"
"Case 471","Incident","Gold","Normal","Res8",7,"True/Wait"
"Case 472","Task","Premium","Normal","Res4",7,"False/No-Wait"
"Case 473","Task","Premium","Normal","Res4",7,"False/No-Wait"
"Case 474","Task","Premium","Normal","Res3",7,"True/Wait"
"Case 475","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 476","Task","Premium","Normal","Res4",7,"True/Wait"
"Case 477","Incident","Gold","Normal","Res3",7,"False/No-Wait"
"Case 478","Task","Premium","Normal","Res8",7,"True/Wait"
"Case 479","Question","Gold","High","Res8",7,"False/No-Wait"
"Case 48","Question","Gold","Normal","Res3",7,"False/No-Wait"
"Case 480","Incident","Gold","High","Res4",7,"False/No-Wait"
"Case 481","Question","Premium","Normal","Res4",7,"False/No-Wait"
"Case 482","Task","Gold","Normal","Res8",7,"False/No-Wait"
"Case 483","Question","Premium","Normal","Res8",7,"False/No-Wait"
"Case 484","Task","Premium","Normal","Res4",7,"True/Wait"
"Case 485","Incident","Premium","Normal","Res3",7,"False/No-Wait"
"Case 486","Question","Gold","High","Res8",7,"False/No-Wait"
"Case 487","Task","Premium","Urgent","Res4",7,"False/No-Wait"
"Case 488","Incident","Gold","Normal","Res8",7,"False/No-Wait"
"Case 489","Question","Gold","High","Res4",7,"False/No-Wait"
"Case 49","Task","Premium","Normal","Res3",7,"True/Wait"
"Case 490","Question","Gold","Normal","Res3",7,"False/No-Wait"
"Case 491","Question","Premium","Normal","Res8",7,"True/Wait"
"Case 492","Question","Gold","Normal","Res4",7,"False/No-Wait"
"Case 493","Task","Premium","High","Res3",7,"False/No-Wait"
"Case 494","Question","Gold","Normal","Res4",7,"False/No-Wait"
"Case 495","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 496","Task","Premium","High","Res4",7,"True/Wait"
"Case 497","Incident","Gold","Normal","Res3",7,"False/No-Wait"
"Case 498","Task","Premium","Normal","Res4",7,"False/No-Wait"
"Case 499","Question","Premium","Normal","Res8",7,"False/No-Wait"
"Case 5","Question","Gold","Normal","Res4",7,"False/No-Wait"
"Case 50","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 500","Task","Premium","Normal","Res3",7,"False/No-Wait"
"Case 501","Task","Premium","Normal","Res3",7,"False/No-Wait"
"Case 502","Task","Premium","Normal","Res8",7,"False/No-Wait"
"Case 503","Task","Premium","Normal","Res4",7,"False/No-Wait"
"Case 504","Question","Premium","Normal","Res3",7,"True/Wait"
"Case 505","Incident","Premium","Urgent","Res3",7,"False/No-Wait"
"Case 506","Task","Gold","Normal","Res4",7,"False/No-Wait"
"Case 507","Task","Premium","Normal","Res4",7,"False/No-Wait"
"Case 508","Task","Premium","Normal","Res8",7,"True/Wait"
"Case 509","Task","Premium","Normal","Res8",7,"True/Wait"
"Case 51","Task","Premium","Normal","Res3",7,"True/Wait"
"Case 510","Task","Premium","Normal","Res3",7,"True/Wait"
"Case 511","Question","Premium","Normal","Res4",7,"False/No-Wait"
"Case 512","Incident","Premium","High","Res3",7,"True/Wait"
"Case 513","Question","Premium","Normal","Res3",7,"False/No-Wait"
"Case 514","Question","Gold","Normal","Res8",7,"False/No-Wait"
"Case 515","Question","Gold","High","Res8",7,"False/No-Wait"
"Case 516","Task","Gold","Normal","Res4",7,"True/Wait"
"Case 517","Question","Premium","Normal","Res8",7,"True/Wait"
"Case 518","Incident","Premium","High","Res4",7,"False/No-Wait"
